,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,,precision_score_test,recall_score_test,f1_score_test,status
66,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.581280934,0.998992314,0.575886903,0.581280934,0.41771138,0.581280934,0.581280934,0.581280934,ok
77,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.578109718,0.999110865,0.576598204,0.578109718,0.421001147,0.578109718,0.578109718,0.578109718,ok
67,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.576864942,0.998942918,0.570048309,0.576864942,0.422077976,0.576864942,0.576864942,0.576864942,ok
70,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.576242554,0.998863883,0.573486263,0.576242554,0.422621329,0.576242554,0.576242554,0.576242554,ok
68,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.575738716,0.998923159,0.574079014,0.575738716,0.423184443,0.575738716,0.575738716,0.575738716,ok
65,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.575649803,0.998952797,0.574227201,0.575649803,0.423302994,0.575649803,0.575649803,0.575649803,ok
94,0.8,8,gbdt,0.8,2,1,0.1,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.574731039,0.999614708,0.576390741,0.574731039,0.424883669,0.574731039,0.574731039,0.574731039,ok
73,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.574523577,0.998923159,0.575145965,0.574523577,0.424399582,0.574523577,0.574523577,0.574523577,ok
60,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.574464302,0.9989034,0.575145965,0.574464302,0.424439098,0.574464302,0.574464302,0.574464302,ok
72,0.8,8,gbdt,0.8,2,5,0.075,255,multi_error,500,0.2,1000,3,200,12,multiclass,0.66,-0.573575176,0.99904171,0.573812276,0.573575176,0.425466534,0.573575176,0.573575176,0.573575176,ok
