,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
0,0.8,2.0,gbdt,0.8,1.0,0.0,1.0,255.0,multi_error,500.0,0.2,1000.0,3.0,400.0,12.0,multiclass,709.0,-0.5015358623867302,0.9997312137618554,0.49909764620051456,0.5015358623867302,0.5015358623867302,0.5015358623867302,0.5015358623867302,ok
1,0.4,8.0,gbdt,0.6,1.0,0.0,1.0,255.0,multi_error,750.0,0.2,1000.0,3.0,300.0,12.0,multiclass,709.0,-0.5096375364767317,0.9968001638316119,0.5107322505087739,0.5096375364767317,0.5096375364767317,0.5096375364767317,0.5096375364767317,ok
2,0.4,8.0,dart,0.8,1.0,1.0,0.01,200.0,multi_error,750.0,0.05,1000.0,3.0,400.0,12.0,multiclass,475.0,-0.48291353094762707,0.5408491085256435,0.4885765848788542,0.48291353094762707,0.48291353094762707,0.48291353094762707,0.48291353094762707,ok
3,0.6,2.0,dart,0.4,0.0,1.0,0.01,255.0,multi_error,250.0,0.05,1000.0,3.0,400.0,12.0,multiclass,475.0,-0.5130932268468745,0.7041303485261554,0.5064316706984603,0.5130932268468745,0.5130932268468745,0.5130932268468745,0.5130932268468745,ok
4,0.6,8.0,dart,0.8,0.0,0.5,1.0,200.0,multi_error,750.0,0.4,1000.0,3.0,200.0,12.0,multiclass,475.0,-0.513477192443557,0.996851361210306,0.5111930269170218,0.513477192443557,0.513477192443557,0.513477192443557,0.513477192443557,ok
5,0.6,2.0,dart,0.6,1.0,0.5,0.5,300.0,multi_error,750.0,0.05,1000.0,3.0,400.0,12.0,multiclass,475.0,-0.5345953002610966,0.9958658116704425,0.5323119456283838,0.5345953002610966,0.5345953002610966,0.5345953002610966,0.5345953002610966,ok
6,0.6,2.0,dart,0.8,1.0,0.0,1.0,300.0,multi_error,500.0,0.05,1000.0,3.0,400.0,12.0,multiclass,573.0,-0.5355168176931348,0.9996800163831612,0.5396843681603501,0.5355168176931348,0.5355168176931348,0.5355168176931348,0.5355168176931348,ok
7,0.4,8.0,gbdt,0.8,0.4,0.5,0.01,255.0,multi_error,250.0,0.4,1000.0,3.0,300.0,12.0,multiclass,573.0,-0.5283366610351713,0.7734643986227905,0.5275889874438429,0.5283366610351713,0.5283366610351713,0.5283366610351713,0.5283366610351713,ok
8,0.4,2.0,dart,0.4,0.0,1.0,0.5,300.0,multi_error,250.0,0.2,1000.0,3.0,200.0,12.0,multiclass,709.0,-0.5295653509445554,0.999283236698281,0.5214837000345582,0.5295653509445554,0.5295653509445554,0.5295653509445554,0.5295653509445554,ok
9,0.4,2.0,gbdt,0.6,0.4,0.5,0.01,200.0,multi_error,250.0,0.4,1000.0,3.0,200.0,12.0,multiclass,709.0,-0.5297957303025649,0.7646584494873863,0.5290481127366279,0.5297957303025649,0.5297957303025649,0.5297957303025649,0.5297957303025649,ok
10,0.8,5.0,dart,0.6,0.0,1.0,0.1,200.0,multi_error,750.0,0.05,1000.0,3.0,400.0,12.0,multiclass,573.0,-0.5444248195361696,0.8960437225614049,0.5419882502015897,0.5444248195361696,0.5444248195361696,0.5444248195361696,0.5444248195361696,ok
11,0.4,5.0,dart,0.8,0.4,0.5,0.1,255.0,multi_error,250.0,0.2,1000.0,3.0,300.0,12.0,multiclass,475.0,-0.5468054062356013,0.9514136876191939,0.5412202895211765,0.5468054062356013,0.5468054062356013,0.5468054062356013,0.5468054062356013,ok
12,0.6,8.0,dart,0.4,0.0,0.5,0.05,255.0,multi_error,250.0,0.05,1000.0,3.0,400.0,12.0,multiclass,573.0,-0.5489940101366918,0.9371680169975297,0.5505126137541758,0.5489940101366918,0.5489940101366918,0.5489940101366918,0.5489940101366918,ok
13,0.4,2.0,gbdt,0.8,0.4,0.0,0.1,200.0,multi_error,750.0,0.2,1000.0,3.0,200.0,12.0,multiclass,709.0,-0.5403547842113346,0.9372320137208975,0.5441001420727258,0.5403547842113346,0.5403547842113346,0.5403547842113346,0.5403547842113346,ok
14,0.4,8.0,dart,0.4,0.0,0.0,0.1,255.0,multi_error,750.0,0.2,1000.0,3.0,200.0,12.0,multiclass,475.0,-0.5328674550760252,0.7219854343457615,0.524094766347963,0.5328674550760252,0.5328674550760252,0.5328674550760252,0.5328674550760252,ok
15,0.6,5.0,dart,0.4,0.0,1.0,0.1,200.0,multi_error,250.0,0.05,1000.0,3.0,400.0,12.0,multiclass,573.0,-0.5558669943173091,0.9927427715700956,0.550934992128403,0.5558669943173091,0.5558669943173091,0.5558669943173091,0.5558669943173091,ok
